Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
black-orchid-tester,Tom Ford Black Orchid,Une potion riche et luxueuse où la truffe noire et l'ylang-ylang fusionnent avec une orchidée noire imaginaire et un fond chocolaté-patchouli. Sulfureux et inoubliable.,Tom Ford,Ambré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-TOM-226,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986789811-black_orchid.jpg,active
my-burberry-blush-tester,Mon Burberry Blush EDP,L'énergie croquante de la grenade et de la pomme verte éveille un cœur floral de pétales de rose et de géranium. Une fragrance lumineuse et intensément féminine.,Burberry,Floral Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-BUR-305,shopify,10,continue,manual,299,449,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986847396-My_Burberry_Blush.jpg,active
tom-ford-tuscan-leather-eau-de-parfum-tester,Tom Ford Tuscan Leather EDP,"L'odeur brute d'un cuir de qualité supérieure adoucie par une touche surprenante de framboise juteuse, de safran et de thym. Nocturne, opulent et audacieux.",Tom Ford,Cuir,,"tester,nouveau",TRUE,Title,Default Title,REF-TOM-336,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986815531-Tom_Ford_Tuscan_Leather.jpg,active
amouage-honour-eau-de-parfum-tester,Amouage Honour men,Testeur authentique de Amouage Honour par Amouage. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Amouage,Frais,,"tester,nouveau",TRUE,Title,Default Title,REF-AMO-066,shopify,,continue,manual,299,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986790462-amouage_honour.jpg,active
armani-prive-vert-malachite-eau-de-parfum-tester,Armani Prive Vert Malachite,"Une tubéreuse charnelle et lumineuse mariée à l'orange amère et à l'ylang-ylang, capturant l'énergie d'une nature vaste et éclatante.",Giorgio Armani,Boisé Aromatique (Floral Blanc),,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-070,shopify,10,continue,manual,299,599,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027465782-966514019-armani_prive_malachite.jpg,active
DIOR-HYPNOTIC-POISON-Eau-De-Parfum,DIOR - HYPNOTIC POISON Eau De Parfum,"Lancé en 2014 et composé par le maître-parfumeur François Demachy, Hypnotic Poison Eau de Parfum est une réinterprétation ultra-dense, sombre et magnétique du mythe original créé en 1998. Inspiré par le fruit défendu de la tentation absolue, ce philtre moderne pousse le mystère et la séduction à leur paroxysme.

La fragrance s'articule autour d'une alliance audacieuse où la gourmandise sombre de la réglisse et l'amertume veloutée de l'amande s'entrelacent à un cœur floral blanc capiteux d'absolu de jasmin Sambac. En fond, l'absolu de vanille de Madagascar déploie une chaleur liquoreuse, presque narcotique, adoucie par les accents baumés et poudrés de la fève tonka pour créer un sillage voluptueux et inoubliable.

Le flacon prend la forme de l'iconique pomme tentatrice de Dior, teintée d'un rouge incandescent et mystérieux plongé dans une laque noire ténébreuse, scellé d'un ruban et d'un cabochon sculptural. Hypnotic Poison Eau de Parfum est une arme de séduction assumée, dédiée à la femme fatale et magnétique.",Dior,Floral,,,TRUE,Title,Default Title,REF-DIO-403,shopify,9,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1788177445552-62015405-dior_hypnotic_poison_EDP.jpg,active
jean-paul-gaultier-scandal-absolu-tester,Jean Paul Gaultier Scandal Absolu,"Une explosion de fleurs blanches (fleur d'oranger, jasmin, tubéreuse) enrobée par la douceur lactée d'un sirop de framboise. Joyeux, explosif et extravagant.",Jean Paul Gaultier,Boisé,,"tester,nouveau",TRUE,Title,Default Title,REF-JEA-285,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784028898725-952000748-Jean_Paul_Gaultier_Scandal_Absolu.jpg,active
aqua-pura,Aqua Pura – Fragrance World,"L'Histoire du Parfum — Longue Description

Aqua Pura de Fragrance World est une fragrance qui évoque la puissance et la fraîcheur de l’océan. Inspiré par l’univers marin de Megamare d’Orto Parisi, le parfum propose une interprétation moderne et accessible d’un accord aquatique particulièrement intense.

Dès la première vaporisation, Aqua Pura s’ouvre sur une explosion fraîche et lumineuse de bergamote et de citron. Les agrumes apportent une sensation vive, propre et énergisante, comme une brise marine chargée d’air frais. Cette ouverture donne immédiatement au parfum une personnalité dynamique et rafraîchissante.

Progressivement, la fragrance plonge dans un cœur profondément marin et aquatique. Les algues apportent une facette iodée et naturelle, tandis que la Calone renforce cette impression d’eau fraîche et d’air marin. L’Hédione apporte une dimension plus aérienne et légèrement florale, créant un contraste élégant avec le caractère salin et océanique de la composition.

En fond, l’Ambroxan, le cèdre et le musc viennent structurer la fragrance et lui donner davantage de profondeur. L’Ambroxan apporte une facette ambrée, minérale et moderne, tandis que le cèdre ajoute une dimension boisée. Le musc prolonge finalement le parfum sur la peau avec une sensation propre, chaleureuse et élégante.

Aqua Pura est une fragrance destinée à ceux qui recherchent une signature fraîche, marine et distinctive. Son caractère aquatique la rend particulièrement intéressante pendant les journées chaudes du printemps et de l’été, tout en conservant suffisamment de profondeur pour accompagner les sorties et les soirées.

Une fragrance qui associe la vivacité des agrumes, la puissance de l’océan et la chaleur des bois, pour créer une signature olfactive moderne, fraîche et captivante.",Fragrance World,Aromatique Aquatique Boisé,,,FALSE,Title,Default Title,REF-FRA-376,shopify,10,continue,manual,500,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1787672695261-518493156-aqua_pura.jpg,draft
Armani-Stronger-With-You-Amber,Armani Stronger With You Amber,"Stronger With You Amber est une édition exclusive et majestueuse qui réinterprète l'accord sensuel de la célèbre collection Armani dans une étreinte orientale profondément mystérieuse. Inspirée par la richesse et la chaleur captivante de l'or liquide, cette fragrance célèbre une union éternelle et indéfectible, magnifiquement symbolisée par la calligraphie arabe qui habille son flacon lumineux.

L'ouverture conjugue la fraîcheur aromatique et noble de la lavande à la vivacité des épices signatures de la gamme, créant une introduction saisissante et texturée. En son cœur, la fragrance s'illumine d'une opulence rare : un ambre riche et rayonnant fusionne avec la cannelle pour draper la peau d'une chaleur magnétique. Enfin, le sillage s'ancre dans une base hautement addictive de vanille bourbon et de daim, laissant derrière elle une empreinte d'une distinction absolue.",Giorgio Armani,Boisé,,,TRUE,Title,Default Title,REF-ARM-357,shopify,10,continue,manual,299,500,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784388664377-882160695-stronger_with_you_amber.jpg,active
si-passione-red-musk-giorgio-armani-tester,Armani SÌ PASSIONE RED MUSK EDP,Un départ éclatant de poire et de cassis qui révèle un cœur passionné de rose et de jasmin. Une fragrance audacieuse pour une féminité affirmée.,Giorgio Armani,Floral Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-181,shopify,10,continue,manual,299,400,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027589458-502941824-Si_Passione_Red_Musk_Giorgio_Armani.jpg,active
